Von,Nach,Dringlichkeit,Link_Projektbeschreibung,Verkehrsträger,Stimmen,Quote_notwendig,notwendig_ja,notwendig_nein,notwendig_weiss_nicht,betroffen_häufig,betroffe_selten,betroffe_nie
Leipzig (A 14),Eilenburg (Variante Nord),WB*,http://bvwp-projekte.de/strasse/B87-G21-SN-BB-T1-SN/B87-G21-SN-BB-T1-SN.html,strasse,118,0.695,82,27,9,71,39,8
Eilenburg,w Torgau,WB*,http://bvwp-projekte.de/strasse/B87-G21-SN-BB-T2-SN/B87-G21-SN-BB-T2-SN.html,strasse,131,0.817,107,21,3,86,37,8
OU Rothenstein,,FD,,strasse,151,0.874,132,12,7,110,38,3
Westtangente Krefeld,(B 57 - B 9),VB,http://bvwp-projekte.de/strasse/B9-G10-NW/B9-G10-NW.html,strasse,121,0.661,80,30,11,69,42,10
Traßdorf (A 71),Nahwinden,FD,,strasse,187,0.802,150,19,18,107,58,22
OU Thum/Ehrenfriedersdorf,,VB,http://bvwp-projekte.de/strasse/B95-G10-SN-T2-SN/B95-G10-SN-T2-SN.html,strasse,111,0.757,84,21,6,77,26,8
OU Teschendorf,und OU Löwenberg,VB,http://bvwp-projekte.de/strasse/B96-G10-BB-T1-BB/B96-G10-BB-T1-BB.html,strasse,224,0.839,188,25,11,150,65,9
OU Gransee,und OU Altlüdersdorf,VB,http://bvwp-projekte.de/strasse/B96-G10-BB-T2-BB/B96-G10-BB-T2-BB.html,strasse,119,0.882,105,10,4,93,21,5
OU Fürstenberg,,VB,http://bvwp-projekte.de/strasse/B96-G10-BB-T3-BB/B96-G10-BB-T3-BB.html,strasse,159,0.906,144,12,3,114,41,4
AS Altefähr,Bergen,FD,,strasse,224,0.871,195,28,1,139,74,11
OU Ottendorf-Okrilla mit AS,,VB,http://bvwp-projekte.de/strasse/B97-G10-SN/B97-G10-SN.html,strasse,157,0.611,96,46,15,77,60,20
OU Nierstein (B 9),,VB,http://bvwp-projekte.de/strasse/B9n-G10-RP-T1-RP/B9n-G10-RP-T1-RP.html,strasse,124,0.855,106,15,3,99,24,1
AS Neuental,AS Schwalmstadt,FD,,strasse,148,0.872,129,19,,104,36,8
AS Schwalmstadt,AD A 5/A 49,FD,,strasse,488,0.863,421,52,15,327,122,39
AD Barnim,Lgr. BB/BE,FD,,strasse,236,0.822,194,31,11,169,59,8
Konstanz (Landeplatz),Allensbach/W,FD,,strasse,456,0.956,436,14,6,372,78,6
AS Wiesloch /Rauenberg,AK Weinsberg,FD-E,,strasse,694,0.967,671,13,10,585,106,3
