FKZ;Referat;Behörde/PT;Arbeits-einheit;Förderart;Thema;Laufzeit von;Laufzeit bis; Bundesmittel 2012 ; IST-Ausgaben 2012 ;Zielland;
2512AHR015;MII6;BVA;IIA5;Direkte Projektförderung;" Hilfen für die deutsche Minderheit in Rumänien im Jahr 2012; Gemeinschaftsfördernde Maßnahmen -Kindersprachferienlager-";10.07.2012;31.12.2012;5411 ;5411 ;Rumänien;
2512AHR016;MII6;BVA;IIA5;Direkte Projektförderung;" Hilfen für die deutsche Minderheit in Rumänien im Jahr 2012; Sprachbindungsmaßnahmen -Workshop für Jugendliche (Leben im Mittelalter)-";27.11.2012;31.12.2012;2287 ;2287 ;Rumänien;
2512AHR020;MII6;BVA;IIA5;Direkte Projektförderung;Hinzuziehung eines Sachverständigen für Spracherwerb und Sprachförderung;01.01.2012;31.12.2012;3380 ;3380 ;Rumänien;
2512AHU500;MII7;BVA;IIA5;Direkte Projektförderung;Maßnahmen zur Konzeption des Internetauftritts (ifa-workshop);01.04.2012;31.12.2012;14082 ;14082 ;Ukraine;
2512AHU501;MII7;BVA;IIA5;Direkte Projektförderung;"Förderung der deutschen Minderheit in der Ukraine in den Arbeitsfeldern Begegnungsstätten; Jugend; deutsche Sprache; Selbstorganisation; Eliten; soziale Hilfen; Partnerschaften";01.07.2012;31.12.2014;188707 ;188707 ;Ukraine;
2512AHU512;MII7;BVA;IIA5;Direkte Projektförderung;Fördermaßnahmen in der Republik Moldau im HHJ 2012: Begegnungszentren und Jugendarbeit;01.01.2012;31.12.2012;32223 ;32223 ;Moldau;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Jahresplanungsgespräch ;01.01.2012;31.12.2012;269 ;269 ;Slowakei;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Jahresplanungsgespräch;01.01.2012;31.12.2012;1126 ;1126 ;Tschechien;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Jahresplanungsgespräch;01.01.2012;31.12.2012;680 ;680 ;Ungarn;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Jahresplanungsgespräch;01.01.2012;31.12.2012;2521 ;2521 ;Polen;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Informationsbesuch des Beauftragten in Serbien und Ungarn;01.01.2012;31.12.2012;418 ;418 ;Serbien/Ungarn;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Informationsbesuch des Beauftragten;01.01.2012;31.12.2012;75 ;75 ;Rumänien;
2512ARKM26;MII6;BVA;IIA5;Direkte Projektförderung;Informationsbesuch des Beauftragten;01.01.2012;31.12.2012;564 ;564 ;Slowakei;
2512ARKM27;MII7;BVA;IIA5;Direkte Projektförderung;"Regierungskommissionen u. ä.; hier: Deutsch-Russische Arbeitsgruppe";01.01.2012;31.12.2012;245 ;245 ;Russland;
