Datum;Typ;Partei
02.12.2002;Verlierer;Linke
04.12.2002;Verlierer;SPD
09.12.2002;Verlierer;SPD
13.12.2002;Gewinner;SPD
14.12.2002;Verlierer;SPD
23.12.2002;Verlierer;Union
27.12.2002;Verlierer;Union
04.01.2003;Verlierer;Union
09.01.2003;Gewinner;SPD
20.01.2003;Verlierer;Linke
24.01.2003;Verlierer;FDP
27.01.2003;Gewinner;SPD
28.01.2003;Gewinner;SPD
30.01.2003;Verlierer;SPD
04.02.2003;Verlierer;Union
13.02.2003;Gewinner;SPD
13.02.2003;Verlierer;FDP
17.02.2003;Gewinner;SPD
19.02.2003;Gewinner;SPD
25.02.2003;Verlierer;Union
28.02.2003;Verlierer;Linke
07.03.2003;Verlierer;SPD
22.03.2003;Verlierer;Grüne
24.03.2003;Gewinner;Union
29.03.2003;Verlierer;Linke
31.03.2003;Gewinner;SPD
03.04.2003;Verlierer;FDP
04.04.2003;Verlierer;Union
07.04.2003;Verlierer;SPD
08.04.2003;Verlierer;SPD
11.04.2003;Verlierer;Union
23.04.2003;Gewinner;Union
02.05.2003;Verlierer;Union
03.05.2003;Verlierer;SPD
07.05.2003;Verlierer;Union
08.05.2003;Verlierer;Linke
09.05.2003;Gewinner;Union
12.05.2003;Verlierer;Union
13.05.2003;Verlierer;SPD
24.05.2003;Verlierer;SPD
30.05.2003;Verlierer;SPD
05.06.2003;Gewinner;Grüne
07.06.2003;Verlierer;SPD
10.06.2003;Verlierer;SPD
12.06.2003;Verlierer;SPD
13.06.2003;Gewinner;SPD
14.06.2003;Gewinner;SPD
17.06.2003;Verlierer;SPD
19.06.2003;Verlierer;Linke
23.06.2003;Gewinner;Union
27.06.2003;Gewinner;Union
27.06.2003;Verlierer;SPD
30.06.2003;Gewinner;Grüne
05.07.2003;Gewinner;SPD
07.07.2003;Verlierer;SPD
10.07.2003;Verlierer;SPD
14.07.2003;Gewinner;Union
19.07.2003;Verlierer;Union
21.07.2003;Verlierer;FDP
25.07.2003;Gewinner;SPD
26.07.2003;Verlierer;SPD
30.07.2003;Gewinner;Union
02.08.2003;Gewinner;Union
05.08.2003;Verlierer;SPD
08.08.2003;Verlierer;Union
15.08.2003;Gewinner;SPD
18.08.2003;Verlierer;Grüne
20.08.2003;Gewinner;Union
23.08.2003;Verlierer;SPD
30.08.2003;Verlierer;Union
01.09.2003;Verlierer;SPD
03.09.2003;Verlierer;SPD
08.09.2003;Verlierer;SPD
10.09.2003;Gewinner;Grüne
13.09.2003;Gewinner;SPD
16.09.2003;Verlierer;SPD
22.09.2003;Verlierer;Union
24.09.2003;Verlierer;SPD
26.09.2003;Gewinner;Union
26.09.2003;Verlierer;SPD
02.10.2003;Verlierer;SPD
11.10.2003;Verlierer;SPD
15.10.2003;Gewinner;SPD
18.10.2003;Verlierer;SPD
20.10.2003;Gewinner;Union
20.10.2003;Verlierer;SPD
21.10.2003;Verlierer;Union
25.10.2003;Verlierer;Linke
27.10.2003;Verlierer;Grüne
28.10.2003;Gewinner;Union
28.10.2003;Verlierer;Union
29.10.2003;Verlierer;SPD
30.10.2003;Gewinner;Grüne
30.10.2003;Verlierer;SPD
03.11.2003;Verlierer;SPD
04.11.2003;Verlierer;SPD
06.11.2003;Gewinner;Union
07.11.2003;Verlierer;Union
08.11.2003;Verlierer;SPD
13.11.2003;Verlierer;SPD
17.11.2003;Gewinner;SPD
17.11.2003;Verlierer;Grüne
18.11.2003;Verlierer;FDP
20.11.2003;Verlierer;Union
22.11.2003;Gewinner;Union
22.11.2003;Verlierer;SPD
24.11.2003;Gewinner;Union
26.11.2003;Verlierer;Union
28.11.2003;Verlierer;SPD
29.11.2003;Gewinner;Grüne
01.12.2003;Gewinner;Grüne
02.12.2003;Verlierer;Grüne
03.12.2003;Verlierer;Union
04.12.2003;Gewinner;Union
04.12.2003;Verlierer;SPD
05.12.2003;Verlierer;Linke
15.12.2003;Gewinner;SPD
15.12.2003;Verlierer;FDP
20.12.2003;Verlierer;Union
02.01.2004;Verlierer;Union
03.01.2004;Verlierer;Union
06.01.2004;Gewinner;Grüne
06.01.2004;Verlierer;FDP
07.01.2004;Gewinner;SPD
07.01.2004;Verlierer;SPD
13.01.2004;Gewinner;Union
14.01.2004;Verlierer;Grüne
22.01.2004;Verlierer;FDP
23.01.2004;Verlierer;Union
26.01.2004;Verlierer;SPD
27.01.2004;Verlierer;Union
29.01.2004;Gewinner;Union
02.02.2004;Verlierer;Linke
03.02.2004;Verlierer;Union
04.02.2004;Verlierer;FDP
06.02.2004;Gewinner;SPD
13.02.2004;Gewinner;Union
14.02.2004;Verlierer;SPD
16.02.2004;Gewinner;Union
16.02.2004;Verlierer;SPD
17.02.2004;Gewinner;SPD
19.02.2004;Verlierer;Union
20.02.2004;Verlierer;Union
21.02.2004;Verlierer;SPD
23.02.2004;Verlierer;SPD
25.02.2004;Gewinner;SPD
26.02.2004;Gewinner;SPD
01.03.2004;Verlierer;Union
02.03.2004;Verlierer;SPD
03.03.2004;Gewinner;Union
03.03.2004;Verlierer;Grüne
04.03.2004;Verlierer;SPD
05.03.2004;Gewinner;Union
05.03.2004;Verlierer;Union
08.03.2004;Verlierer;Grüne
09.03.2004;Verlierer;FDP
12.03.2004;Verlierer;SPD
13.03.2004;Gewinner;Union
13.03.2004;Verlierer;Linke
16.03.2004;Verlierer;SPD
23.03.2004;Verlierer;SPD
24.03.2004;Gewinner;Union
25.03.2004;Verlierer;Union
27.03.2004;Verlierer;SPD
29.03.2004;Gewinner;Union
30.03.2004;Gewinner;Union
30.03.2004;Verlierer;SPD
02.04.2004;Gewinner;Grüne
03.04.2004;Verlierer;SPD
07.04.2004;Gewinner;Union
08.04.2004;Verlierer;SPD
14.04.2004;Verlierer;Union
16.04.2004;Verlierer;FDP
17.04.2004;Verlierer;SPD
20.04.2004;Gewinner;Union
23.04.2004;Gewinner;Union
26.04.2004;Gewinner;SPD
27.04.2004;Verlierer;SPD
03.05.2004;Gewinner;FDP
04.05.2004;Verlierer;SPD
05.05.2004;Gewinner;SPD
05.05.2004;Verlierer;SPD
08.05.2004;Gewinner;Union
08.05.2004;Verlierer;SPD
11.05.2004;Gewinner;SPD
18.05.2004;Verlierer;SPD
19.05.2004;Verlierer;Grüne
21.05.2004;Gewinner;Union
24.05.2004;Verlierer;SPD
26.05.2004;Verlierer;Union
28.05.2004;Gewinner;SPD
28.05.2004;Verlierer;FDP
03.06.2004;Gewinner;Union
07.06.2004;Verlierer;Grüne
09.06.2004;Verlierer;Union
10.06.2004;Verlierer;SPD
11.06.2004;Gewinner;Union
12.06.2004;Verlierer;Grüne
15.06.2004;Gewinner;Linke
15.06.2004;Gewinner;Union
15.06.2004;Gewinner;Grüne
15.06.2004;Gewinner;SPD
15.06.2004;Verlierer;FDP
15.06.2004;Verlierer;SPD
15.06.2004;Verlierer;SPD
15.06.2004;Verlierer;SPD
16.06.2004;Verlierer;SPD
18.06.2004;Verlierer;Union
21.06.2004;Verlierer;SPD
22.06.2004;Gewinner;Union
22.06.2004;Verlierer;Union
23.06.2004;Verlierer;SPD
24.06.2004;Gewinner;Union
25.06.2004;Gewinner;SPD
26.06.2004;Gewinner;SPD
29.06.2004;Gewinner;Union
29.06.2004;Verlierer;SPD
30.06.2004;Verlierer;Union
02.07.2004;Verlierer;Union
03.07.2004;Verlierer;Union
05.07.2004;Gewinner;FDP
06.07.2004;Gewinner;Union
08.07.2004;Gewinner;SPD
09.07.2004;Verlierer;SPD
10.07.2004;Verlierer;SPD
19.07.2004;Gewinner;FDP
20.07.2004;Verlierer;Union
22.07.2004;Gewinner;SPD
28.07.2004;Verlierer;SPD
02.08.2004;Verlierer;Linke
03.08.2004;Gewinner;Union
03.08.2004;Verlierer;Union
05.08.2004;Gewinner;FDP
05.08.2004;Verlierer;Union
07.08.2004;Gewinner;Union
07.08.2004;Verlierer;Union
09.08.2004;Verlierer;SPD
10.08.2004;Gewinner;Union
10.08.2004;Verlierer;Linke
11.08.2004;Verlierer;SPD
12.08.2004;Verlierer;FDP
13.08.2004;Gewinner;SPD
13.08.2004;Verlierer;SPD
16.08.2004;Verlierer;SPD
18.08.2004;Gewinner;Grüne
